"","cdep","cmun","cindica","nomind","contexto","periodo","edadR","casos","casosh","poblacionh","casosm","poblacionm","casosNA","poblacionNA","tasaNA","rural","urbana","sininfor","desplazados","otros","discapacitados","nodiscapacitados","discapacitadoNA","indigena","negro","palenquero","raizal","ROM","Sinetnica","Sininformación"
"1",11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2015,"(01 a 05)",790,NA,199,64.5109003971148,591,201.540024962318,0,0,0,NA,2,786,2,NA,2,788,NA,1,789,0,NA,0,7
"2",11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2015,"(06 a 11)",1368,NA,265,72.0482641805937,1103,315.247339118108,0,0,0,NA,3,1359,6,NA,5,1363,NA,4,1364,0,NA,0,13
"3",11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2015,"(12 a 17)",1754,NA,199,52.3415615670906,1555,424.865709648687,0,0,0,NA,3,1741,10,NA,7,1747,NA,6,1748,0,NA,1,14
"4",11,11001,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2015,"(18 a 28)",400,NA,22,3.02478259375107,378,53.1110723940448,0,0,0,NA,0,399,1,NA,3,397,NA,5,395,0,NA,1,3
"5",11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2015,"Menores de un año",11,NA,6,9.62047236519313,5,8.46439030996597,0,0,0,NA,0,11,0,NA,0,11,NA,0,11,0,NA,0,0
"6",13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2015,"(01 a 05)",78,NA,19,44.8144915913862,59,145.034414945919,0,0,0,NA,1,77,0,NA,0,78,NA,0,78,0,NA,0,1
"7",13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2015,"(06 a 11)",134,NA,28,52.8212190382765,106,205.052810771076,0,0,0,NA,1,133,0,NA,1,133,NA,2,132,0,NA,0,6
"8",13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2015,"(12 a 17)",209,NA,18,32.6862663204344,191,348.23512252042,0,0,0,NA,1,207,1,NA,2,207,NA,1,208,0,NA,0,6
"9",13,13001,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2015,"(18 a 28)",53,NA,1,1.03386956701543,52,54.569113881543,0,0,0,NA,0,53,0,NA,1,52,NA,1,52,0,NA,0,3
"10",13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2015,"Menores de un año",3,NA,0,0,3,37.8835711579745,0,0,0,NA,0,3,0,NA,0,3,NA,0,3,0,NA,0,0
