"","cdep","cmun","cindica","nomind","contexto","periodo","edadR","casos","casosh","poblacionh","casosm","poblacionm","casosNA","poblacionNA","tasaNA","rural","urbana","sininfor","desplazados","otros","discapacitados","nodiscapacitados","discapacitadoNA","indigena","negro","palenquero","raizal","ROM","Sinetnica","Sininformación"
"1",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",7,2,2943,5,2776,0,0,0,1,6,0,0,7,0,7,0,2,0,0,0,0,5,0
"2",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",28,2,3457,26,3329,0,0,0,0,28,0,0,28,1,27,0,10,2,0,0,0,16,0
"3",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",35,0,3237,35,3044,0,0,0,2,33,0,0,35,3,32,0,12,0,0,0,0,23,0
"4",91,91001,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2020,"(18 a 28)",6,1,5140,5,4453,0,0,0,1,5,0,0,6,0,6,0,2,0,0,0,0,4,0
"5",91,91540,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",1,0,839,1,806,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"6",5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",2,2,658,0,648,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0
"7",5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",4,1,938,3,858,0,0,0,1,3,0,0,4,1,3,0,0,0,0,0,0,4,0
"8",5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",9,0,1057,9,909,0,0,0,6,3,0,0,9,0,9,0,0,0,0,0,0,8,1
"9",5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",3,1,1038,2,991,0,0,0,2,1,0,0,3,0,3,0,0,0,0,0,0,1,2
"10",5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",4,0,1286,4,1242,0,0,0,1,3,0,0,4,0,4,0,0,0,0,0,0,4,0
"11",5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",6,2,1406,4,1357,0,0,0,2,3,1,0,6,0,6,0,0,0,0,0,0,5,1
"12",5,5030,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2020,"(18 a 28)",3,0,2906,3,2776,0,0,0,2,0,1,0,3,0,3,0,0,0,0,0,0,3,0
"13",5,5031,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",1,0,1133,1,1067,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"14",5,5031,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",4,0,1480,4,1423,0,0,0,3,1,0,0,4,0,4,0,0,0,0,0,0,3,1
"15",5,5031,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",6,1,1557,5,1501,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,5,1
"16",5,5031,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2020,"(18 a 28)",2,0,2525,2,2448,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0
"17",5,5034,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",6,2,1661,4,1499,0,0,0,1,5,0,0,6,0,6,0,0,0,0,0,0,5,1
"18",5,5034,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",7,1,2037,6,1846,0,0,0,5,2,0,0,7,0,7,0,0,1,0,0,0,6,0
"19",5,5034,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",5,1,2126,4,1943,0,0,0,3,2,0,0,5,0,5,0,2,0,0,0,0,3,0
"20",5,5034,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2020,"(18 a 28)",2,0,4355,2,3562,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0
"21",5,5040,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",2,0,967,2,994,0,0,0,1,1,0,1,1,0,2,0,0,1,0,0,0,1,0
"22",5,5040,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",6,2,1198,4,1117,0,0,0,2,4,0,0,6,0,6,0,0,0,0,0,0,5,1
"23",5,5040,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",7,0,1181,7,1046,0,0,0,3,4,0,0,7,1,6,0,0,0,0,0,0,5,2
"24",5,5044,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",2,2,338,0,288,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,2,0
"25",5,5044,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",3,2,404,1,371,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,2,1
"26",5,5044,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",5,0,401,5,378,0,0,0,3,2,0,0,5,0,5,0,0,0,0,0,0,5,0
"27",5,5045,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",1,0,6017,1,5613,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"28",5,5045,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",2,0,7324,2,6956,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,1,1
"29",5,5045,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",4,0,7275,4,7137,0,0,0,2,2,0,0,4,0,4,0,0,0,0,0,0,2,2
"30",5,5051,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",2,1,2062,1,1860,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,2,0
"31",5,5051,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",1,0,1999,1,1688,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"32",5,5059,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",2,2,196,0,205,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0
"33",5,5059,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2020,"(18 a 28)",1,0,302,1,321,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"34",5,5079,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",2,0,1666,2,1661,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0
"35",5,5079,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",9,4,2161,5,2089,0,0,0,5,4,0,0,9,1,8,0,0,0,0,0,0,9,0
"36",5,5079,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",8,0,2437,8,2309,0,0,0,4,4,0,1,7,2,6,0,0,1,0,0,0,6,1
"37",5,5079,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2020,"(18 a 28)",3,1,4954,2,4717,0,0,0,3,0,0,0,3,2,1,0,0,0,0,0,0,3,0
"38",5,5088,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",21,9,18267,12,17261,0,0,0,4,17,0,0,21,0,21,0,0,0,0,0,0,21,0
"39",5,5088,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",31,9,21833,22,20993,0,0,0,0,31,0,0,31,1,30,0,0,1,0,0,0,30,0
"40",5,5088,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",37,7,23626,30,23317,0,0,0,1,36,0,2,35,2,35,0,0,0,0,0,0,37,0
"41",5,5088,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2020,"(18 a 28)",9,1,57153,8,55990,0,0,0,1,8,0,0,9,0,9,0,0,0,0,0,0,9,0
"42",5,5086,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",1,0,336,1,335,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"43",5,5091,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",5,3,414,2,381,0,0,0,3,2,0,0,5,0,5,0,0,0,0,0,0,3,2
"44",5,5091,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",1,1,539,0,529,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"45",5,5091,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(12 a 17)",2,0,568,2,557,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,2,0
"46",5,5091,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2020,"(18 a 28)",1,0,893,1,825,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"47",5,5093,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(01 a 05)",1,0,714,1,668,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"48",5,5093,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2020,"(06 a 11)",6,6,904,0,840,0,0,0,2,4,0,0,6,0,6,0,0,0,0,0,0,6,0
