"","cdep","cmun","cindica","nomind","contexto","periodo","edadR","casos","poblacion","tasa","casosh","poblacionh","tasah","casosm","poblacionm","tasam","casosNA","poblacionNA","tasaNA","rural","urbana","sininfor","desplazados","otros","discapacitados","nodiscapacitados","discapacitadoNA","indigena","negro","palenquero","raizal","ROM","Sinetnica","Sininformación","TOTAL"
"1",91,91405,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2022,"(06 a 11)",1,636,157.232704402516,0,340,0,1,296,337.837837837838,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
"2",91,91405,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2022,"(12 a 17)",2,558,358.4229390681,0,302,0,2,256,781.25,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2
"3",91,91407,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2022,"(12 a 17)",2,589,339.55857385399,0,297,0,2,292,684.931506849315,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2
"4",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2022,"(01 a 05)",5,5754,86.8960722975322,1,2958,33.8066260987153,4,2796,143.061516452074,0,0,0,2,3,0,0,5,0,5,0,2,0,0,0,0,3,0,5
"5",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2022,"(06 a 11)",23,6983,329.371330373765,4,3545,112.834978843441,19,3438,552.646887725422,0,0,0,3,20,0,0,23,1,22,0,12,1,0,0,0,10,0,23
"6",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2022,"(12 a 17)",43,6728,639.120095124851,7,3433,203.903291581707,36,3295,1092.56449165402,0,0,0,12,27,4,0,43,1,42,0,19,0,0,0,0,22,2,43
"7",91,91001,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2022,"(18 a 28)",6,10631,56.4387169598344,1,5601,17.8539546509552,5,5030,99.403578528827,0,0,0,1,5,0,0,6,0,6,0,2,0,0,0,0,4,0,6
"8",91,91460,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2022,"(18 a 28)",1,388,257.731958762887,0,239,0,1,149,671.140939597315,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"9",91,91540,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2022,"(01 a 05)",1,1284,77.8816199376947,0,626,0,1,658,151.975683890577,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
"10",91,91540,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2022,"(06 a 11)",1,1636,61.1246943765281,0,833,0,1,803,124.53300124533,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
